Time	Ch 0
[s]	[V]
0.025480	0.518636
0.025500	0.302234
0.025520	0.079583
0.025540	-0.141424
0.025560	-0.375257
0.025580	-0.599881
0.025600	-0.824834
0.025620	-1.057022
0.025640	-1.280002
0.025660	-1.505284
0.025680	-1.722015
0.025700	-1.933155
0.025720	-2.134428
0.025740	-2.331427
0.025760	-2.514612
0.025780	-2.691878
0.025800	-2.854673
0.025820	-3.008588
0.025840	-3.143428
0.025860	-3.268073
0.025880	-3.379892
0.025900	-3.475596
0.025920	-3.546633
0.025940	-3.620960
0.025960	-3.659768
0.025980	-3.691340
0.026000	-3.711073
0.026020	-3.697589
0.026040	-3.678514
0.026060	-3.639706
0.026080	-3.582810
0.026100	-3.520981
0.026120	-3.433499
0.026140	-3.333191
0.026160	-3.220386
0.026180	-3.086861
0.026200	-2.936892
0.026220	-2.787910
0.026240	-2.624129
